id,marque,modele,annee,kilometrage,prix,carburant,transmission,couleur,ville,typeVendeur,datePublication,description
13,Jeep,Wrangler,2023,500,66825,HYBRIDE,MANUELLE,Blanc,Gatineau,CONCESSIONNAIRE,2025-08-26,"A vendre Jeep Wrangler 2023, 500 km au compteur. Hybride, faible consommation avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Gatineau. Prix demande: 66 825 $."
14,Kia,Soul,2018,70122,25990,ELECTRIQUE,AUTOMATIQUE,Vert,Calgary,PARTICULIER,2026-08-02,"Cette Kia Soul 2018 (70 122 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur vert. Vehicule non accidente, deuxieme proprietaire. Localisation: Calgary. Prix affiche: 25 990 $ CAD, faire une offre."
15,Ford,Fusion,2019,76000,27550,HYBRIDE,MANUELLE,Blanc,Montreal,CONCESSIONNAIRE,2026-02-26,"Cette Ford Fusion 2019 (76 000 km) est en excellent etat. Carburant: hybride, faible consommation, transmission manuelle, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Montreal. Prix affiche: 27 550 $ CAD, faire une offre."
16,Chrysler,Pacifica,2019,63856,36998,ESSENCE,AUTOMATIQUE,Blanc,Surrey,PARTICULIER,2026-08-10,"Cette Chrysler Pacifica 2019 (63 856 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur blanc. Vehicule non accidente, deuxieme proprietaire. Localisation: Surrey. Prix affiche: 36 998 $ CAD, faire une offre."
17,Audi,Q3,2021,46926,42495,ESSENCE,AUTOMATIQUE,Bleu,Vancouver,PARTICULIER,2026-06-02,"A vendre Audi Q3 2021, 46 926 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur bleu, aucun accident rapporte. Disponible a Vancouver. Prix demande: 42 495 $."
18,BMW,X5,2021,32856,73900,HYBRIDE,AUTOMATIQUE,Gris,Montreal,CONCESSIONNAIRE,2026-05-05,"BMW X5 2021 de couleur gris, 32 856 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Montreal. Prix: 73 900 $ CAD."
19,Mazda,CX-5,2023,500,33450,ESSENCE,AUTOMATIQUE,Noir,Halifax,CONCESSIONNAIRE,2026-01-30,"Cette Mazda CX-5 2023 (500 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Halifax. Prix affiche: 33 450 $ CAD, faire une offre."
20,Chevrolet,Silverado,2023,500,78768,ESSENCE,AUTOMATIQUE,Blanc,Montreal,CONCESSIONNAIRE,2026-03-12,"A vendre Chevrolet Silverado 2023, 500 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Montreal. Prix demande: 78 768 $."
21,Mercedes-Benz,GLE350,2016,139509,29998,DIESEL,AUTOMATIQUE,Gris,Ottawa,CONCESSIONNAIRE,2026-07-26,"Superbe Mercedes-Benz GLE350 2016 en excellente condition, 139 509 km. Entretien regulier effectue, carnet complet disponible. Vehicule diesel, economique en carburant, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Ottawa. Prix: 29 998 $ CAD, negociable."
22,Tesla,Model S,2022,21000,86500,ELECTRIQUE,AUTOMATIQUE,Blanc,Vancouver,CONCESSIONNAIRE,2026-03-14,"Superbe Tesla Model S 2022 en excellente condition, 21 000 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Vancouver. Prix: 86 500 $ CAD, negociable."
23,Honda,Civic,2012,129487,13995,ESSENCE,MANUELLE,Gris,Calgary,CONCESSIONNAIRE,2026-06-25,"Occasion a saisir: Honda Civic 2012, seulement 129 487 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Calgary. Prix: 13 995 $."
24,Volvo,XC90 Recharge,2020,47206,57520,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Bleu,Surrey,PARTICULIER,2025-10-11,"A vendre Volvo XC90 Recharge 2020, 47 206 km au compteur. Hybride rechargeable (phev) avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur bleu, aucun accident rapporte. Disponible a Surrey. Prix demande: 57 520 $."
25,Volkswagen,CC,2013,103442,13319,ESSENCE,AUTOMATIQUE,Argent,Vancouver,PARTICULIER,2026-02-20,"Occasion a saisir: Volkswagen CC 2013, seulement 103 442 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Vancouver. Prix: 13 319 $."
26,Kia,Forte,2023,500,28403,ESSENCE,MANUELLE,Blanc,Montreal,PARTICULIER,2025-11-07,"A vendre Kia Forte 2023, 500 km au compteur. A essence avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Montreal. Prix demande: 28 403 $."
27,Tesla,Model 3,2022,15005,49998,ELECTRIQUE,AUTOMATIQUE,Bordeaux,Calgary,CONCESSIONNAIRE,2026-04-16,"A vendre Tesla Model 3 2022, 15 005 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur bordeaux, aucun accident rapporte. Disponible a Calgary. Prix demande: 49 998 $."
28,Tesla,Model X,2016,72000,72878,ELECTRIQUE,AUTOMATIQUE,Bleu,Toronto,PARTICULIER,2026-06-02,"Tesla Model X 2016 de couleur bleu, 72 000 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Toronto. Prix: 72 878 $ CAD."
29,Mercedes-Benz,GL-Class,2014,179873,26285,DIESEL,MANUELLE,Gris,Kitchener,CONCESSIONNAIRE,2026-02-14,"Mercedes-Benz GL-Class 2014 de couleur gris, 179 873 km, en tres bon etat mecanique et esthetique. Moteur diesel, economique en carburant, transmission manuelle. Inspection recente reussie. Vendeur situe a Kitchener. Prix: 26 285 $ CAD."
30,Honda,CR-V,2021,46814,36600,ESSENCE,AUTOMATIQUE,Noir,Ottawa,PARTICULIER,2025-08-02,"A vendre Honda CR-V 2021, 46 814 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Ottawa. Prix demande: 36 600 $."
31,Nissan,LEAF,2023,10587,44999,ELECTRIQUE,AUTOMATIQUE,Brun,Sherbrooke,CONCESSIONNAIRE,2026-02-05,"Occasion a saisir: Nissan LEAF 2023, seulement 10 587 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Sherbrooke. Prix: 44 999 $."
32,Honda,CR-V,2023,3103,55888,HYBRIDE,AUTOMATIQUE,Blanc,Ottawa,CONCESSIONNAIRE,2026-03-21,"A vendre Honda CR-V 2023, 3 103 km au compteur. Hybride, faible consommation avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Ottawa. Prix demande: 55 888 $."
33,Infiniti,QX50,2020,55119,37599,ESSENCE,AUTOMATIQUE,Bleu,Moncton,PARTICULIER,2025-06-21,"Infiniti QX50 2020 de couleur bleu, 55 119 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Moncton. Prix: 37 599 $ CAD."
34,Volkswagen,Touareg,2014,126000,27995,DIESEL,AUTOMATIQUE,Noir,Ottawa,PARTICULIER,2026-01-29,"Volkswagen Touareg 2014 de couleur noir, 126 000 km, en tres bon etat mecanique et esthetique. Moteur diesel, economique en carburant, transmission automatique. Inspection recente reussie. Vendeur situe a Ottawa. Prix: 27 995 $ CAD."
35,Volkswagen,Passat,2012,145000,14449,DIESEL,MANUELLE,Bordeaux,Toronto,PARTICULIER,2025-09-28,"Occasion a saisir: Volkswagen Passat 2012, seulement 145 000 km. Vehicule diesel, economique en carburant, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Toronto. Prix: 14 449 $."
36,GMC,Sierra,2023,500,64153,ESSENCE,AUTOMATIQUE,Bordeaux,Montreal,PARTICULIER,2025-10-25,"GMC Sierra 2023 de couleur bordeaux, 500 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Montreal. Prix: 64 153 $ CAD."
37,Toyota,RAV4 Prime,2023,15937,49416,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Gris,Kitchener,PARTICULIER,2025-11-03,"Superbe Toyota RAV4 Prime 2023 en excellente condition, 15 937 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride rechargeable (PHEV), transmission automatique. Interieur propre et non-fumeur. Idealement situe a Kitchener. Prix: 49 416 $ CAD, negociable."
38,Chevrolet,Silverado,2021,34182,51900,DIESEL,MANUELLE,Rouge,Laval,PARTICULIER,2026-02-16,"Occasion a saisir: Chevrolet Silverado 2021, seulement 34 182 km. Vehicule diesel, economique en carburant, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Laval. Prix: 51 900 $."
39,Hyundai,Santa,2020,54395,38099,ESSENCE,AUTOMATIQUE,Noir,Quebec,PARTICULIER,2026-05-27,"Occasion a saisir: Hyundai Santa 2020, seulement 54 395 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Quebec. Prix: 38 099 $."
40,Mercedes-Benz,GLC300,2019,45900,45755,ESSENCE,AUTOMATIQUE,Noir,Toronto,PARTICULIER,2026-01-12,"Mercedes-Benz GLC300 2019 de couleur noir, 45 900 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Toronto. Prix: 45 755 $ CAD."
41,Ford,F-150,2023,500,90641,HYBRIDE,MANUELLE,Beige,Trois-Rivieres,PARTICULIER,2025-06-13,"Superbe Ford F-150 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule hybride, faible consommation, transmission manuelle. Interieur propre et non-fumeur. Idealement situe a Trois-Rivieres. Prix: 90 641 $ CAD, negociable."
42,Maserati,Levante,2018,75050,59910,ESSENCE,AUTOMATIQUE,Noir,Vancouver,PARTICULIER,2025-08-13,"A vendre Maserati Levante 2018, 75 050 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Vancouver. Prix demande: 59 910 $."
43,Jeep,Wrangler,2022,9538,64995,ELECTRIQUE,AUTOMATIQUE,Noir,Edmonton,PARTICULIER,2025-11-08,"Jeep Wrangler 2022 de couleur noir, 9 538 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Edmonton. Prix: 64 995 $ CAD."
44,BMW,4,2019,104664,32500,ESSENCE,AUTOMATIQUE,Bleu,Toronto,CONCESSIONNAIRE,2026-09-01,"Cette BMW 4 2019 (104 664 km) est en excellent etat. Carburant: a essence, transmission automatique, couleur bleu. Vehicule non accidente, deuxieme proprietaire. Localisation: Toronto. Prix affiche: 32 500 $ CAD, faire une offre."
45,Nissan,LEAF,2020,23423,37999,ELECTRIQUE,AUTOMATIQUE,Blanc,Montreal,PARTICULIER,2026-07-04,"Nissan LEAF 2020 de couleur blanc, 23 423 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Montreal. Prix: 37 999 $ CAD."
46,BMW,3,2018,145955,28995,DIESEL,MANUELLE,Noir,Gatineau,CONCESSIONNAIRE,2026-05-17,"A vendre BMW 3 2018, 145 955 km au compteur. Diesel, economique en carburant avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur noir, aucun accident rapporte. Disponible a Gatineau. Prix demande: 28 995 $."
47,Hyundai,Sonata,2014,146413,11499,ESSENCE,MANUELLE,Noir,Calgary,CONCESSIONNAIRE,2025-10-27,"Cette Hyundai Sonata 2014 (146 413 km) est en excellent etat. Carburant: a essence, transmission manuelle, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Calgary. Prix affiche: 11 499 $ CAD, faire une offre."
48,Jeep,Wrangler,2021,34157,42495,ESSENCE,AUTOMATIQUE,Gris,Mississauga,CONCESSIONNAIRE,2025-12-21,"Occasion a saisir: Jeep Wrangler 2021, seulement 34 157 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Mississauga. Prix: 42 495 $."
49,Chrysler,Pacifica Hybrid,2020,64828,32226,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Noir,Surrey,PARTICULIER,2026-09-04,"Cette Chrysler Pacifica Hybrid 2020 (64 828 km) est en excellent etat. Carburant: hybride rechargeable (PHEV), transmission automatique, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Surrey. Prix affiche: 32 226 $ CAD, faire une offre."
50,Ford,F-150,2023,500,77814,HYBRIDE,MANUELLE,Noir,Mississauga,PARTICULIER,2025-07-08,"Cette Ford F-150 2023 (500 km) est en excellent etat. Carburant: hybride, faible consommation, transmission manuelle, couleur noir. Vehicule non accidente, deuxieme proprietaire. Localisation: Mississauga. Prix affiche: 77 814 $ CAD, faire une offre."
51,Ford,Fusion,2019,79184,27985,HYBRIDE,AUTOMATIQUE,Brun,Kitchener,CONCESSIONNAIRE,2026-09-01,"Ford Fusion 2019 de couleur brun, 79 184 km, en tres bon etat mecanique et esthetique. Moteur hybride, faible consommation, transmission automatique. Inspection recente reussie. Vendeur situe a Kitchener. Prix: 27 985 $ CAD."
52,Ford,F-150,2018,170000,25900,ESSENCE,AUTOMATIQUE,Blanc,Ottawa,PARTICULIER,2026-03-21,"A vendre Ford F-150 2018, 170 000 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Ottawa. Prix demande: 25 900 $."
53,Hyundai,Elantra,2015,173469,11450,ESSENCE,AUTOMATIQUE,Blanc,Quebec,CONCESSIONNAIRE,2025-11-04,"Hyundai Elantra 2015 de couleur blanc, 173 469 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Quebec. Prix: 11 450 $ CAD."
54,Subaru,Impreza,2016,92056,17995,ESSENCE,AUTOMATIQUE,Noir,Laval,PARTICULIER,2026-05-13,"Subaru Impreza 2016 de couleur noir, 92 056 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Laval. Prix: 17 995 $ CAD."
55,Toyota,RAV4 Prime,2022,28324,44088,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Beige,Calgary,CONCESSIONNAIRE,2026-03-25,"Occasion a saisir: Toyota RAV4 Prime 2022, seulement 28 324 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Calgary. Prix: 44 088 $."
56,Jeep,Wrangler,2022,21146,62885,ESSENCE,MANUELLE,Noir,Montreal,PARTICULIER,2025-07-21,"Jeep Wrangler 2022 de couleur noir, 21 146 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission manuelle. Inspection recente reussie. Vendeur situe a Montreal. Prix: 62 885 $ CAD."
57,Jeep,Wrangler,2023,500,73499,HYBRIDE,MANUELLE,Bleu,Ottawa,PARTICULIER,2026-03-21,"A vendre Jeep Wrangler 2023, 500 km au compteur. Hybride, faible consommation avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur bleu, aucun accident rapporte. Disponible a Ottawa. Prix demande: 73 499 $."
58,Tesla,Model S,2019,74358,79000,ELECTRIQUE,AUTOMATIQUE,Noir,Ottawa,CONCESSIONNAIRE,2026-07-06,"Occasion a saisir: Tesla Model S 2019, seulement 74 358 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Ottawa. Prix: 79 000 $."
59,Chevrolet,Malibu,2023,500,40043,ESSENCE,AUTOMATIQUE,Blanc,Toronto,CONCESSIONNAIRE,2025-10-15,"Superbe Chevrolet Malibu 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Toronto. Prix: 40 043 $ CAD, negociable."
60,Tesla,Model 3,2019,106000,41888,ELECTRIQUE,AUTOMATIQUE,Gris,Quebec,CONCESSIONNAIRE,2025-11-23,"A vendre Tesla Model 3 2019, 106 000 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Quebec. Prix demande: 41 888 $."
61,Buick,Regal,2019,53932,25995,ESSENCE,AUTOMATIQUE,Blanc,Toronto,PARTICULIER,2025-09-24,"Superbe Buick Regal 2019 en excellente condition, 53 932 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Toronto. Prix: 25 995 $ CAD, negociable."
62,Volkswagen,Beetle,2013,93000,14998,DIESEL,MANUELLE,Rouge,Vancouver,CONCESSIONNAIRE,2026-01-10,"Occasion a saisir: Volkswagen Beetle 2013, seulement 93 000 km. Vehicule diesel, economique en carburant, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Vancouver. Prix: 14 998 $."
63,Audi,A3,2017,89500,22990,ESSENCE,AUTOMATIQUE,Noir,Quebec,CONCESSIONNAIRE,2026-07-03,"Superbe Audi A3 2017 en excellente condition, 89 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule a essence, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Quebec. Prix: 22 990 $ CAD, negociable."
64,Volkswagen,Jetta,2020,79000,27850,ESSENCE,MANUELLE,Gris,Ottawa,CONCESSIONNAIRE,2025-12-14,"Occasion a saisir: Volkswagen Jetta 2020, seulement 79 000 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Ottawa. Prix: 27 850 $."
65,Subaru,Forester,2018,97276,24498,ESSENCE,MANUELLE,Blanc,Calgary,CONCESSIONNAIRE,2026-07-22,"A vendre Subaru Forester 2018, 97 276 km au compteur. A essence avec transmission manuelle, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Calgary. Prix demande: 24 498 $."
66,Chrysler,Pacifica,2023,500,64280,ELECTRIQUE,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2025-12-26,"Occasion a saisir: Chrysler Pacifica 2023, seulement 500 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 64 280 $."
67,Volvo,XC40,2023,500,79299,ELECTRIQUE,AUTOMATIQUE,Blanc,Calgary,CONCESSIONNAIRE,2025-11-19,"Superbe Volvo XC40 2023 en excellente condition, 500 km. Entretien regulier effectue, carnet complet disponible. Vehicule 100% electrique, zero emission, transmission automatique. Interieur propre et non-fumeur. Idealement situe a Calgary. Prix: 79 299 $ CAD, negociable."
68,Dodge,Grand,2015,275680,8995,ESSENCE,AUTOMATIQUE,Noir,Montreal,CONCESSIONNAIRE,2026-07-09,"Occasion a saisir: Dodge Grand 2015, seulement 275 680 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 8 995 $."
69,Ford,Escape,2022,300,56708,HYBRIDE_RECHARGEABLE,AUTOMATIQUE,Noir,Halifax,CONCESSIONNAIRE,2025-07-20,"Occasion a saisir: Ford Escape 2022, seulement 300 km. Vehicule hybride rechargeable (PHEV), transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Halifax. Prix: 56 708 $."
70,Honda,Odyssey,2020,67865,47099,ESSENCE,AUTOMATIQUE,Blanc,Regina,PARTICULIER,2026-03-10,"Occasion a saisir: Honda Odyssey 2020, seulement 67 865 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Regina. Prix: 47 099 $."
71,Volkswagen,ID.4,2022,9221,76940,ELECTRIQUE,AUTOMATIQUE,Gris,Moncton,CONCESSIONNAIRE,2025-08-07,"A vendre Volkswagen ID.4 2022, 9 221 km au compteur. 100% electrique, zero emission avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur gris, aucun accident rapporte. Disponible a Moncton. Prix demande: 76 940 $."
72,Ford,F-150,2023,500,70499,ESSENCE,AUTOMATIQUE,Gris,Montreal,PARTICULIER,2025-08-07,"Occasion a saisir: Ford F-150 2023, seulement 500 km. Vehicule a essence, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 70 499 $."
73,Chrysler,Pacifica,2022,500,59193,ESSENCE,MANUELLE,Noir,Montreal,PARTICULIER,2025-06-13,"Occasion a saisir: Chrysler Pacifica 2022, seulement 500 km. Vehicule a essence, transmission manuelle, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Montreal. Prix: 59 193 $."
74,Hyundai,Santa,2017,105000,25888,ESSENCE,AUTOMATIQUE,Noir,Laval,PARTICULIER,2026-05-09,"Hyundai Santa 2017 de couleur noir, 105 000 km, en tres bon etat mecanique et esthetique. Moteur a essence, transmission automatique. Inspection recente reussie. Vendeur situe a Laval. Prix: 25 888 $ CAD."
75,Tesla,Model Y,2016,154572,59999,ELECTRIQUE,AUTOMATIQUE,Bleu,Halifax,PARTICULIER,2026-03-10,"Occasion a saisir: Tesla Model Y 2016, seulement 154 572 km. Vehicule 100% electrique, zero emission, transmission automatique, entretien fait chez le concessionnaire. Pneus quatre saisons inclus, parfait pour le climat de Halifax. Prix: 59 999 $."
76,Volkswagen,ID.4,2021,19903,67488,ELECTRIQUE,AUTOMATIQUE,Gris,Edmonton,CONCESSIONNAIRE,2025-07-19,"Volkswagen ID.4 2021 de couleur gris, 19 903 km, en tres bon etat mecanique et esthetique. Moteur 100% electrique, zero emission, transmission automatique. Inspection recente reussie. Vendeur situe a Edmonton. Prix: 67 488 $ CAD."
77,GMC,SIERRA,2018,100845,59995,DIESEL,MANUELLE,Gris,Mississauga,CONCESSIONNAIRE,2025-12-28,"GMC SIERRA 2018 de couleur gris, 100 845 km, en tres bon etat mecanique et esthetique. Moteur diesel, economique en carburant, transmission manuelle. Inspection recente reussie. Vendeur situe a Mississauga. Prix: 59 995 $ CAD."
78,Ford,Fusion,2019,28985,28990,ELECTRIQUE,AUTOMATIQUE,Argent,Quebec,CONCESSIONNAIRE,2025-06-18,"Cette Ford Fusion 2019 (28 985 km) est en excellent etat. Carburant: 100% electrique, zero emission, transmission automatique, couleur argent. Vehicule non accidente, deuxieme proprietaire. Localisation: Quebec. Prix affiche: 28 990 $ CAD, faire une offre."
79,Mazda,CX-5,2019,68135,29590,ESSENCE,AUTOMATIQUE,Blanc,Sherbrooke,CONCESSIONNAIRE,2025-11-21,"A vendre Mazda CX-5 2019, 68 135 km au compteur. A essence avec transmission automatique, tres fiable pour la conduite hivernale canadienne. Couleur blanc, aucun accident rapporte. Disponible a Sherbrooke. Prix demande: 29 590 $."
